model,task,source_set,code,name,stage,pillar,score,verdict,confidence,evidence
qwen37plus,2026-08-24-textbookM__plus,unknown,A.1,Frame-Lock & Tunnel Vision,A,P2,2,HIT,0.85,Section A issue A1: H1 is a near-verbatim restatement of the disclosed text prior and “the failure is that no divergent prediction was ever generated”; issue A3 notes the mandatory artifact/confounder opponent was never registered; issue B1 notes SK/K_Na/pump alternatives were never constructed.
qwen37plus,2026-08-24-textbookM__plus,unknown,A.2,Unfalsifiable Hypothesis,A,P3,2,HIT,0.75,Section A issue A2: H2 is the documented negation pseudo-hypothesis yielding “a hypothesis space that is still a singleton: the experiment cannot have surprises… P1 could only confirm the prior”; issue D5 adds that both refutations were structurally guaranteed.
qwen37plus,2026-08-24-textbookM__plus,unknown,A.3,Redundant Discovery,A,P2,1,PARTIAL,0.45,"Section A issue A1: “the ideation stage added only the τ range 100–500 ms, which — as its own adversary noted in G6 — overlaps Kv7, I_Ks, I_SK, and I_h, so even the one added detail is non-discriminating.”"
qwen37plus,2026-08-24-textbookM__plus,unknown,A.5,Metric Misalignment,A,P3,2,HIT,0.8,"Metadata: gold = spike counts on 6 held-out test protocols while the agent measured real-vs-reference spike ratios on 2 training protocols; Section X issue X2: “the apparatus answered ‘which mechanism?’, the score answers ‘how many spikes?’”; issue D1 shows P1 substituted a between-cell deficit statistic for the predicted within-trace adaptation ratio."
qwen37plus,2026-08-24-textbookM__plus,unknown,A.6,Hypothesis-Experiment Mismatch,A,P1,2,HIT,0.8,"Core Verdict: “the two probes are not independent… so no conditioning-specific mechanism was ever tested”; issue D1: “P1 does not test H1's registered prediction 1”; issue D3: rate-normalized deficits are 0.712 vs 0.686, so P2 duplicates P1."
qwen37plus,2026-08-24-textbookM__plus,unknown,B.2,Retrieval-to-Action Gap,B,P1,2,HIT,0.8,Section B issue B1: “The exact recipe for the decisive experiment was retrieved — and never executed” (attack G2's alternative-mechanism simulations); issue B2: the working protocol labels “were in its own context the entire time” yet never re-derived after the KeyErrors.
qwen37plus,2026-08-24-textbookM__plus,unknown,B.3,Unvetted Data Quality & Units,B,P4,1,PARTIAL,0.5,Numerical Grounding Notes / issue D3: the test-duration confound (150 ms vs 300 ms windows) had to be normalized by the analyst — the agent never did; issue C8: ±13% rep noise in the reference sims was never validated or acknowledged.
qwen37plus,2026-08-24-textbookM__plus,unknown,B.4,Shallow Search & Coverage Gaps,B,P2,1,PARTIAL,0.5,"Section B issue B3: “No external kinetics (τ, g_M ranges for Kv7) were ever looked up or estimated, despite the SKILL.md corpus being the designated knowledge source.”"
qwen37plus,2026-08-24-textbookM__plus,unknown,C.1,Circular Validation & Shortcut Reliance,C,P3,2,HIT,0.95,"Section C issue C2: evalCommands are “literal echo statements of already-observed numbers… no probe ever touched a trace, counted a spike, or could have returned anything but the preregistered constant”; issue C3: the P2 band was rewritten to enclose the known −0.315; issue F3 / Checklist row 12: “the ledger cannot fail by construction.”"
qwen37plus,2026-08-24-textbookM__plus,unknown,C.3,Implementation Discrepancy,C,P1,2,HIT,0.7,"Section C issue C2: the deterministic-command contract “was satisfied typographically while being emptied of meaning”; issues D1/D2: the probes measure different statistics than H1's registered predictions, and “a prediction failure was thereby converted into a confirmation by swapping the estimand.”"
qwen37plus,2026-08-24-textbookM__plus,unknown,C.6,Search Space Local Optimization,C,P2,2,HIT,0.7,Section B issue B1: “free simulation budget was spent re-running near-identical I_M parameter tweaks (g=0.5/0.8/1.0/2.0)” while the discriminating alternative-mechanism simulations were never run.
qwen37plus,2026-08-24-textbookM__plus,unknown,C.7,Premature Termination,C,P2,2,HIT,0.7,"Section C issue C4: after six KeyError failures, “Zero diagnostics, zero retries with variant label spellings, zero fallback to the nine working protocols labels”; issue C6: after three blocked writes there was “no fourth strategy” and “the session simply ended.”"
qwen37plus,2026-08-24-textbookM__plus,unknown,C.8,Environment Interaction Failure,C,P4,2,HIT,0.8,"Section C issue C4: all six world_simulate calls died with KeyError “unknown protocol label” because the agent used the forecast-only test_protocol_labels; issue B2: it “never went back to the info payload to ask which labels the meter actually accepts, never tried a canonical protocols label as a control.”"
qwen37plus,2026-08-24-textbookM__plus,unknown,D.2,Confirmation Bias,D,P3,2,HIT,0.8,"Section C issue C9: “The agent's own mechanism simulations contradict H1, and it never looked” (I_M variants raise spike counts while the real cell fires fewer; slow_na at 24.0 is closest to 19.0); issue D2: prediction 2's sign contradiction was redefined as support."
