model,task,source_set,code,name,stage,pillar,score,verdict,confidence,evidence
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,A.1,Frame-Lock & Tunnel Vision,A,P2,2,HIT,0.7,"Section A, issue A1: the agent quoted the prior “not a named textbook channel” yet registered H1–H3 and H5 as named textbook channels, making “their joint death near-predetermined”; issue A2 adds that no viable variance opponent was live when the +11 reading “cleared half the hypothesis space.”"
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,B.2,Retrieval-to-Action Gap,B,P1,2,HIT,0.6,"Section B, issue B2: the pre-pulse reference voltage trace “was returned to the agent at log 55”, and counting spikes in its 120 ms gap would have grounded the release anchor the forecast needed, but “the capability was demonstrated and then not applied where it mattered most.”"
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,B.4,Shallow Search & Coverage Gaps,B,P2,1,PARTIAL,0.55,"Section B, issue B1: the release-protocol definitions (counting-window convention, duration) were never obtained and “the agent also never probed for it”, though the analysis concedes the information was not in the info payload."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,C.1,Circular Validation & Shortcut Reliance,C,P3,2,HIT,0.8,"Section C, issues C2–C3: P6/P7 preregistered bands around numbers already read from deterministic index lookups (“Both kills were therefore guaranteed at typing time”), and P8's [0,24]/[25,100] bands were first written after the forecast returned 35.53, with the boundary placed so the observed value sits well inside H13's band."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,C.2,Grader-Fitting & Data Leakage,C,P3,1,PARTIAL,0.5,"Section B, issue B4: the agent read the harness's gate source and used the recovered format rules to shape the report — “teaching-to-the-test” that directly produced the number-deletion in E2 — but the analysis records it as “a mild robustness/grounding concern, not a violation.”"
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,C.4,Execution Faults & Numerical Instability,C,P4,1,PARTIAL,0.6,"Section C, issue C4: three verifiable off-by-one errors translating predicts inequalities into bands, two of which flipped verdicts (H2's spurious in-band hit, H4's unearned band-miss), so “the campaign's band arithmetic cannot be trusted at ±1.”"
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,C.8,Environment Interaction Failure,C,P4,1,PARTIAL,0.55,"Section C, issue C5: four release-label simulations returned KeyError and were “never revisited” — the agent “never established that” held-out labels are forecast-only, never retried a training label as a control, and never recorded a ruling."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,D.1,Artifacts as Insights,D,P1,2,HIT,0.65,"Title and Section X, issue X2: the founding “+11 baseline excess” was a high draw against a low-draw anchor — “H3 would not have been resurrected on a phantom +11” and seven hypotheses “mostly died of noise”; Checklist row 6 verifies the artifact decomposition."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,D.2,Confirmation Bias,D,P3,1,PARTIAL,0.55,"Section C, issue C9: control 2 cites the grill child's favourable paired-difference ≈0 numbers unreproduced, while the parent's own raw dose-response reads Δ = +3/+5/+11 — “an outsourced, un-reproduced control whose raw form disagrees with one's own data, without noting either fact.”"
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,D.3,Statistical Misuse,D,P3,1,PARTIAL,0.6,"Section A, issue A3: every band in P1–P4 was centred on a single draw with ±2–4 width although a free reps=20 reference calibration was available — “the single most consequential planning failure in the run”; Section F, issue F4 adds the one load-bearing severity sentence was quantitatively false (P ≈ 0.453, “a coin flip”)."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,D.4,Method-Conclusion Disconnect,D,P1,2,HIT,0.75,"Sentence-by-Sentence Checklist rows 1, 3 and 4: the “强反跳生成器” mechanism claim is untested, the inverted “10–14 发/协议” range's top is arithmetically infeasible (Section D, issue D1), and “参考模型释放间隙类比仅 1–2 发” rests on an analogy never grounded in any simulation (issue D2)."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,D.5,Baseline & Ablation Deficit,D,P2,1,PARTIAL,0.5,"Section A, issue A2: the registered null H4 was “the weakest possible version of the null” while the true variance opponent entered only after P2 had executed four hypotheses; Section D, issue D3: the report never states the counterfactual baselines needed to judge the score."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,E.1,Report-Code Traceability Gap,E,P1,2,HIT,0.75,"Section C, issues C6–C8 with Checklist rows 5, 13 and 25: the report claims “预算已尽” while the journal shows budget_spent 6/8, asserts P2=32 falls inside a reference distribution whose max is 31, and mis-transcribes the scored long-step forecast as 26 against the journal's 27."
qwen38max,2026-08-27-ca_rebound__38max-direct-r1,unknown,E.2,Overclaiming & Selective Narrative,E,P3,2,HIT,0.7,"Section X, issue X1: report §1 “presents the second half's outcome as the first half's discovery”; Section E, issue E4: “已落账” is stated as complete while 5 of 34 grill attacks were silently dropped, including the decision-relevant H11-5."
